000000000,Nihar Williams,785 Spruce St.,Los Angles,WA,02656,Valid
000000010,Nihar Koppolu,904 Fir Lane,San Diego,WA,00159,Valid
000000100,Nevada Tyrell,912 Oak Lane,Sacremento,OR,09062,Valid
000001000,Matt Newman,462 Pine Lane,San Diego,CA,08867,Valid
000010000,Matt Newman,47 Ash Ave.,San Diego,WA,05610,Valid
000100000,Nihar Dainard,788 Fir Blvd.,Sacremento,OR,09037,Valid
001000000,Trae Williams,123 st Ave,Portland,OR,98133,Valid
010000000,Poly Williams,902 Spruce St.,Olympia,OR,01653,Valid
100000000,Trae Koppolu,504 Spruce Blvd.,Portland,CA,04363,Valid
123456789,Ken Williams,692 Fir Lane,Olympia,CA,08749,Valid
